### Overlap of enriched GO-terms in each sex-asex comparison when mapped to different species transcriptomes
# Intersections	= species pairs compared = Tbi = T. bartmani - T. tahoe; Tce = T. cristinae - T. monikensis; Tps = T. poppensis - T. douglasi; Tcm = T. californicum - T. shepardi; Tpa = T. podura - T. genevievae
# Degree = number of sets overlapping	
# Observed.Overlap = observed overlap between sets	
# Expected.Overlap = expected overlap between sets
# FE = fisher exact test
# FDR_BH = FDR
# map_sp = species used for mapping. Tbi = T. bartmani, Tce = T. cristinae, Tps = T. poppensis, Tcm = T. californicum, Tpa = T. podura, Tte = T. tahoe, Tms = T. monikensis, Tdi = T. douglasi, Tsi = T. shepardi, and Tge = T. genevievae.
# Tissue = Tissue used. WB = whole-body, RT = reproductive tract, LG = Legs
Intersections	degree	Observed.Overlap	Expected.Overlap	FE	FDR_BH	map_sp	Tissue
Tbi_&_Tcm_&_Tpa_&_Tps	4	0	0.003231227	0	1	Tcm	LG
Tbi_&_Tcm_&_Tpa_&_Tps	4	0	0.002539584	0	1	Tsi	LG
Tbi_&_Tcm_&_Tpa_&_Tps	4	0	0.00496349	0	1	Tps	LG
Tbi_&_Tcm_&_Tpa_&_Tps	4	0	0.003273983	0	1	Tdi	LG
Tbi_&_Tcm_&_Tpa_&_Tps	4	0	0.003762327	0	1	Tpa	LG
Tbi_&_Tcm_&_Tpa_&_Tps	4	0	0.001247676	0	1	Tge	LG
Tce_&_Tcm_&_Tpa_&_Tps	4	0	0.000778628	0	1	Tbi	LG
Tce_&_Tcm_&_Tpa_&_Tps	4	0	0.00093034	0	1	Tte	LG
Tce_&_Tcm_&_Tpa_&_Tps	4	0	0.002387537	0	1	Tce	LG
Tce_&_Tcm_&_Tpa_&_Tps	4	0	0.00240654	0	1	Tms	LG
Tce_&_Tcm_&_Tpa_&_Tps	4	0	0.001414857	0	1	Tcm	LG
Tce_&_Tcm_&_Tpa_&_Tps	4	0	0.000699681	0	1	Tsi	LG
Tce_&_Tcm_&_Tpa_&_Tps	4	0	0.00133042	0	1	Tps	LG
Tce_&_Tcm_&_Tpa_&_Tps	4	0	0.000947732	0	1	Tdi	LG
Tce_&_Tcm_&_Tpa_&_Tps	4	0	0.001869182	0	1	Tpa	LG
Tce_&_Tcm_&_Tpa_&_Tps	4	0	0.000715579	0	1	Tge	LG
Tbi_&_Tce_&_Tcm_&_Tpa_&_Tps	5	0	2.08E-05	0	1	Tbi	LG
Tbi_&_Tce_&_Tcm_&_Tpa_&_Tps	5	0	2.55E-05	0	1	Tte	LG
Tbi_&_Tce_&_Tcm_&_Tpa_&_Tps	5	0	0.000100194	0	1	Tce	LG
Tbi_&_Tce_&_Tcm_&_Tpa_&_Tps	5	0	9.78E-05	0	1	Tms	LG
Tbi_&_Tce_&_Tcm_&_Tpa_&_Tps	5	0	6.28E-05	0	1	Tcm	LG
Tbi_&_Tce_&_Tcm_&_Tpa_&_Tps	5	0	3.60E-05	0	1	Tsi	LG
Tbi_&_Tce_&_Tcm_&_Tpa_&_Tps	5	0	6.85E-05	0	1	Tps	LG
Tbi_&_Tce_&_Tcm_&_Tpa_&_Tps	5	0	4.78E-05	0	1	Tdi	LG
Tbi_&_Tce_&_Tcm_&_Tpa_&_Tps	5	0	7.75E-05	0	1	Tpa	LG
Tbi_&_Tce_&_Tcm_&_Tpa_&_Tps	5	0	2.57E-05	0	1	Tge	LG
